source,reservoir_id,reservoir_name,basin,rise_item_ids,latitude,longitude,elevation_ft,county,start_date,end_date,notes
dwr_cdss,REDRESCO,RED MESA RESERVOIR NEAR RED MESA,33,,37.166093,-108.141924,,La Plata,2007-10-19,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,RHSRESCO,RUETER-HESS RESERVOIR,8,,39.491736,-104.820813,,Douglas,2021-04-22,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,RIFRESCO,Rifle Gap Reservoir,Colorado,,39.62653,-107.757803,,Garfield,1993-06-28,2026-06-23,confirmed CDSS abbrev
dwr_cdss,RIORESCO,RIO GRANDE RESERVOIR NEAR CREEDE,20,,37.720472,-107.267023,,Hinsdale,1989-04-10,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,RITRESCO,RITO HONDO RESERVOIR,20,,37.891388,-107.17558,,Hinsdale,2020-06-10,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,ROMOCOCO,ROSEMONT RESERVOIR NEAR PUEBLO,12,,38.72772,-104.964346,,Teller,1994-09-08,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,RUERESCO,RUEDI RESERVOIR NEAR BASALT,38,,39.363693,-106.818708,,Pitkin,1986-08-12,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,SAMRESCO,SANTA MARIA RESERVOIR NEAR CREEDE,20,,37.805934,-107.100038,,Mineral,2016-11-15,2026-05-13,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,SANRESCO,"SANCHEZ RESERVOIR NEAR SAN LUIS, CO",24,,37.113659,-105.412566,,Costilla,2000-01-15,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,SHARESCO,SHADOW MOUNTAIN RESERVOIR,51,,40.207213,-105.841416,,Grand,1985-12-10,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,SHLAKECO,SAND HILL LAKE,2,,40.116109,-104.845753,,Weld,2009-07-15,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,SKGRESCO,SKAGUAY RESERVOIR,12,,38.688062,-105.051683,,Teller,2001-09-16,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,SPCRESCO,SPRING CREEK RESERVOIR,59,,38.861175,-106.707025,,Gunnison,2021-10-19,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,SPIRESCO,Spinney Mountain Reservoir,South Platte,,38.972103,-105.621809,,Park,2017-07-03,2026-06-23,confirmed CDSS abbrev
dwr_cdss,STELAKCO,STEAMBOAT LAKE,58,,40.791284,-106.945887,,Routt,1999-10-01,2022-10-18,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,STRRESCO,STRONTIA SPRINGS RESERVOIR,8,,39.432175,-105.12757,,Jefferson,2021-09-28,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,SWARESCO,STILLWATER RESERVOIR,58,,40.026752,-107.12424,,Garfield,2022-12-04,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,TARRESCO,TARRYALL RESERVOIR,23,,39.222734,-105.605467,,Park,2001-09-16,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,TERRESCO,TERRACE RESERVOIR IN CONEJOS COUNTY,21,,37.356746,-106.285638,,Conejos,1989-04-10,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,THURESCO,THURSTON RESERVOIR,67,,38.222719,-102.625381,,Prowers,2012-03-28,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,TROUTLVL,TROUT LAKE (LEVEL & ALARM),60,,37.828797,-107.88767,,San Miguel,1993-12-06,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,TRURESCO,TRUJILLO MEADOWS RESERVOIR NEAR CUMBRES PASS,22,,37.048096,-106.447606,,Conejos,2018-09-20,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,TURQLACO,TURQUOISE LAKE AT SUGARLOAF DAM NEAR LEADVILLE CO,11,,39.252783,-106.37429,,Lake,2008-06-20,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,TWBTRSCO,TWO BUTTES RESERVOIR,67,,37.636456,-102.538049,,Baca,2022-04-21,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,TWIRESCO,"TWIN LAKES RESERVOIR, CO",11,,39.080278,-106.313895,,Lake,2008-06-30,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,UBBRESCO,UPPER BEAVER BROOK RESERVOIR,7,,39.694014,-105.431724,,Clear Creek,2024-10-01,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,UNIRESCO,UNION RESERVOIR,5,,40.172684,-105.04464,,Weld,2010-05-30,2026-06-22,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,VALRESCO,VALLECITO RESERVOIR,31,,37.382895,-107.576097,,La Plata,1988-11-25,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,VICBPRCO,VICTOR BISON PARK RESERVOIR,12,,38.771898,-105.08447,,Teller,2016-09-28,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,VICRESCO,VICTOR RESERVOIR NO 2,12,,38.777616,-105.090153,,Teller,2016-09-30,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
dwr_cdss,VUGRESCO,VOUGA RESERVOIR NEAR DOYLEVILLE,28,,38.355351,-106.664174,,Saguache,2001-09-16,2026-06-23,"auto-enumerated (CDSS telemetrystation, STORAGE)"
